parameter,0,1,2,3,4,5,6,7,8,9,min,avg,max,σ,μ-σ,μ+σ,
933,803392,483513,526435,338351,426814,427104,596300,821619,498831,568340,338351.00,549069.90,821619.00,327553.44,494065.56,1149172.44,
934,803392,483513,526435,338351,426812,427104,596301,821620,498831,568339,338351.00,549069.80,821620.00,327554.63,494065.37,1149174.63,
935,803390,483514,526435,338351,426813,427104,596301,821621,498833,568339,338351.00,549070.10,821621.00,327555.08,494065.92,1149176.08,
936,803393,483516,526535,338351,426813,427104,596301,821620,498831,568339,338351.00,549080.30,821620.00,327544.14,494075.86,1149164.14,
937,803391,483511,526535,338351,426813,427105,596300,821619,498834,568338,338351.00,549079.70,821619.00,327543.50,494075.50,1149162.50,
938,803391,483513,526535,338351,426813,427106,596301,821620,498834,568338,338351.00,549080.20,821620.00,327543.98,494076.02,1149163.98,
939,803390,483513,526535,338350,426814,427105,596300,821618,498834,568338,338350.00,549079.70,821618.00,327542.38,494075.62,1149160.38,
940,803391,483513,526535,338351,426812,427106,596300,821620,498834,568338,338351.00,549080.00,821620.00,327544.19,494075.81,1149164.19,
941,803391,483512,526436,338350,426813,427106,596300,821620,498834,568338,338350.00,549070.00,821620.00,327554.24,494065.76,1149174.24,
942,803390,483511,526535,338349,426813,427106,596301,821619,498834,568338,338349.00,549079.60,821619.00,327543.62,494075.38,1149162.62,
943,803391,483511,526535,338349,426813,427106,596300,821619,498834,568338,338349.00,549079.60,821619.00,327543.69,494075.31,1149162.69,
944,803391,483512,526536,338349,426813,427106,596301,821621,498833,568338,338349.00,549080.00,821621.00,327545.35,494075.65,1149166.35,
945,803392,483512,526536,338350,426813,427105,596301,821621,498833,568339,338350.00,549080.20,821621.00,327545.23,494075.77,1149166.23,
946,803392,483514,526436,338351,426812,427105,596300,821620,498832,568339,338351.00,549070.10,821620.00,327554.25,494065.75,1149174.25,
947,803392,483513,526436,338351,426812,427104,596300,821621,498831,568339,338351.00,549069.90,821621.00,327555.53,494065.47,1149176.53,
948,803392,483513,526435,338351,426813,427104,596301,821621,498831,568338,338351.00,549069.90,821621.00,327555.50,494065.50,1149176.50,
949,803392,483513,526436,338350,426812,427104,596301,821621,498831,568339,338350.00,549069.90,821621.00,327555.62,494065.38,1149176.62,
950,803392,483513,526436,338350,426812,427104,596301,821621,498832,568339,338350.00,549070.00,821621.00,327555.51,494065.49,1149176.51,
